year,country,amount,value
2017,シンガポール,22909,138082
2017,マレーシア,692,3656
2017,フィリピン,4117,33345
2017,インドネシア,1989,11641
2017,カンボジア,490900,3785882
2017,ラオス,19664,148495
2017,ミャンマー,515,2683
2017,バングラデシュ,830,6383
2017,マカオ,41172,411180
2017,カタール,1052,21315
2017,アラブ首長国連邦,3184,44589
2017,タジキスタン,34949,292707
2017,ドイツ,756,6958
2017,アメリカ合衆国,72621,582461
2017,メキシコ,47,450
2017,ブラジル,43,410
2017,ニュージーランド,149,1426
2017,グアム（米）,207,1890
2017,北マリアナ諸島（米）,732,6494
2017,台湾,8737,45665
2017,香港,91928,412798
2017,ベトナム,8124,49805
2017,タイ,24143,113113
2017,シンガポール,26122,71556
2017,マレーシア,2022,10023
2017,フィリピン,828,4614
2017,インドネシア,5006,23909
2017,カンボジア,60532,368203
2017,ミャンマー,215,615
2017,マカオ,1551,7185
2017,アラブ首長国連邦,1900,12070
2017,タジキスタン,2470,13977
2017,アメリカ合衆国,14625,66289
2017,台湾,3570,17865
2017,香港,23726,101835
2017,ベトナム,4864,27464
2017,タイ,24869,101852
2017,シンガポール,12229,25328
2017,マレーシア,1146,5663
2017,フィリピン,102,367
2017,インドネシア,737,3372
2017,カンボジア,15678,100177
2017,マカオ,4348,21941
2017,アラブ首長国連邦,854,3906
2017,タジキスタン,4970,29551
2017,ドイツ,58,251
2017,アメリカ合衆国,2905,13737
2017,北マリアナ諸島（米）,89,745
2017,台湾,991,5075
2017,香港,7058,51930
2017,ベトナム,1622,11134
2017,タイ,5975,30948
2017,シンガポール,4209,14710
2017,マレーシア,544,2722
2017,インドネシア,144,1297
2017,ラオス,14982,104080
2017,ミャンマー,924,2888
2017,バングラデシュ,265,2041
2017,マカオ,2241,19215
2017,カタール,367,3554
2017,アラブ首長国連邦,577,4597
2017,アメリカ合衆国,2934,10727
2017,グアム（米）,106,964
2017,北マリアナ諸島（米）,29,233
2018,香港,2901,9813
2018,マレーシア,36,244
2018,台湾,154052,1233907
2018,香港,203851,1568331
2018,ベトナム,543,4453
2018,タイ,19003,144357
2018,シンガポール,117345,970393
2018,マレーシア,10180,84417
2018,フィリピン,4878,48378
2018,インドネシア,2174,16848
2018,ミャンマー,355,3025
2018,マカオ,17173,165718
2018,アラブ首長国連邦,151,2547
2018,デンマーク,1802,30077
2018,英国,49690,465898
2018,オランダ,43637,515614
2018,ベルギー,16526,176204
2018,フランス,5350,50631
2018,モナコ,235,3549
2018,ドイツ,13272,132630
2018,スイス,4467,53707
2018,イタリア,7904,82025
2018,ロシア,3627,43590
2018,カナダ,19188,182025
2018,アメリカ合衆国,281963,2497760
2018,メキシコ,9795,138008
2018,アルゼンチン,83,834
2018,オーストラリア,7277,77088
2018,ニュージーランド,4350,36065
2018,台湾,237856,1285795
2018,香港,166824,799105
2018,ベトナム,2042,8282
2018,タイ,20553,103787
2018,シンガポール,63844,295637
2018,マレーシア,17267,95133
2018,フィリピン,2252,13696
2018,インドネシア,2879,12603
2018,ミャンマー,214,822
2018,マカオ,648,3994
2018,アラブ首長国連邦,157,1294
2018,デンマーク,443,2803
2018,英国,3909,24382
2018,オランダ,13304,85341
2018,ベルギー,2189,12110
2018,フランス,678,3902
2018,ドイツ,1379,7565
2018,スイス,120,1207
2018,イタリア,2777,19848
2018,ロシア,676,4229
2018,カナダ,3134,20247
2018,アメリカ合衆国,24809,122027
2018,メキシコ,3558,27480
2018,アルゼンチン,58,246
2018,オーストラリア,8250,48327
2018,ニュージーランド,322,2076
2018,台湾,99880,516215
2018,香港,61956,250393
2018,ベトナム,207,1577
2018,タイ,9724,36807
2018,シンガポール,29416,106062
2018,マレーシア,6887,34720
2018,フィリピン,829,4078
2018,インドネシア,219,1468
2018,ミャンマー,379,1411
2018,マカオ,797,3932
2018,デンマーク,1460,6457
2018,英国,1547,9019
2018,オランダ,2629,16363
2018,ベルギー,756,3482
2018,フランス,56,204
2018,ドイツ,141,831
2018,スイス,61,246
2018,イタリア,1151,4885
2018,ロシア,417,2990
2018,カナダ,55,309
2018,アメリカ合衆国,11628,37825
2018,メキシコ,389,1811
2018,オーストラリア,2959,15904
2018,ニュージーランド,97,537
2018,台湾,39883,275667
2018,香港,20893,85307
2018,ベトナム,107,383
2018,タイ,2733,14519
2018,シンガポール,8310,43317
2018,マレーシア,1240,6610
2018,フィリピン,425,4992
2018,マカオ,392,6695
2018,デンマーク,1316,10490
2018,英国,410,3612
2018,ドイツ,1217,11079
2018,スイス,370,3654
2018,イタリア,1019,9032
2018,カナダ,4774,30157
2018,アメリカ合衆国,14663,72063
2018,オーストラリア,35,224
2018,台湾,32884,257817
2018,モンゴル,408,3636
2018,香港,145910,1059390
2018,ベトナム,28590,247513
2018,タイ,72044,542590
2018,シンガポール,19504,131166
2018,マレーシア,1660,13850
2018,フィリピン,6706,52634
2018,インドネシア,2572,13631
2018,カンボジア,675168,5126715
2018,ラオス,38217,284400
2018,スリランカ,20,245
2018,マカオ,46392,472312
2018,バーレーン,340,7907
2018,カタール,1922,34305
2018,アラブ首長国連邦,5006,76670
2018,タジキスタン,43220,345633
2018,フランス,52,362
2018,ドイツ,219,1967
2018,ロシア,218,2229
2018,カナダ,1764,17061
2018,アメリカ合衆国,60318,518460
